Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-1036.0585	592.233	-40.21515	-2103.0256	50.0	0.658813	0.7195806	2.1454003	-1.0109124	5000	3.4523012e-08	623581.0	0.04029699	-209028.31	0.9189419	0.08924375	0.3912	1.0	3.0889029502868652
1	-906.68994	494.40726	-42.274937	-1730.6719	50.0	-195.96263	153.09717	-6.044501	-529.7545	10000	-4.389286e-08	297097.94	0.054723013	-78822.16	0.91893876	0.062279865	0.3482	1.0	6.277115106582642
2	-770.89197	442.14346	-36.13211	-1529.6384	50.0	-384.85254	267.7543	-9.278735	-961.9292	15000	-3.6594273e-08	173059.05	0.051562935	-19923.078	0.918937	0.055439655	0.3236	1.0	9.363089084625244
3	-599.8361	383.25427	-40.874397	-1434.5533	50.0	-365.0262	234.42639	-8.446556	-1339.7394	20000	-2.2262334e-09	110043.83	0.03885387	-15656.953	0.9189906	0.047571063	0.2944	1.0	12.39599084854126
4	-451.7486	394.73123	-35.645554	-1225.0985	50.0	-283.80164	172.62729	-3.2687328	-994.34033	25000	-3.927946e-09	71977.04	0.033769246	-6028.7266	0.91902333	0.04022957	0.2384	1.0	15.514086961746216
5	-455.9898	352.21725	-38.06856	-1173.4957	50.0	-269.3715	158.52406	-2.2763572	-811.6421	30000	2.1614134e-08	54961.176	0.033928055	-4088.457	0.91909415	0.039039314	0.2432	1.0	18.644888877868652
6	-344.84216	284.8466	-42.785835	-990.5812	50.0	-245.72568	143.18915	7.060285	-840.95294	35000	-8.404255e-09	37524.19	0.027535565	-4525.578	0.91915476	0.029287988	0.2266	1.0	21.71250319480896
7	-243.02177	229.11067	-33.931183	-912.67596	50.0	-179.56488	123.71505	35.5186	-710.0319	40000	1.1274219e-08	19985.695	0.02727732	-2812.1816	0.91926044	0.028907117	0.1836	1.0	24.831380128860474
8	-178.35463	190.02757	-37.893246	-711.9196	50.0	-119.81483	101.39918	44.810867	-535.2689	45000	1.1265278e-09	12139.154	0.020227322	-804.6426	0.9192802	0.027321966	0.1446	1.0	27.98391604423523
9	-131.99876	135.3056	-34.551098	-530.4044	50.0	-94.61204	95.77838	46.612217	-467.59494	50000	-1.2636184e-09	6847.3433	0.02434184	-1199.0747	0.91926825	0.0224284	0.1678	2.0	31.061906099319458
10	-102.81172	86.87385	-37.89587	-416.71066	50.0	-63.976658	67.71421	31.28143	-333.77734	55000	7.8961255e-09	2959.844	-0.02107002	-628.2676	0.91924757	0.008645728	0.1314	79.0	34.774529218673706
11	-77.14547	69.72182	-35.33968	-457.9393	50.0	-40.923244	41.280094	17.887503	-243.2178	60000	-1.9138865e-08	1505.9113	-0.01889011	-159.78735	0.90355957	0.009752256	0.1038	79.0	38.69628310203552
12	-58.184948	34.29154	-34.743156	-380.27054	50.0	-27.932594	25.619213	9.448206	-243.38802	65000	7.671537e-09	582.5991	-0.018090507	-120.041016	0.88554764	0.011844945	0.1146	79.0	42.58139705657959
13	-49.956734	8.455757	-34.064438	-77.403694	50.0	-20.684298	13.572492	1.6335332	-130.04825	70000	1.0728836e-09	150.42606	-0.019740684	-28.439034	0.85915667	0.0060662017	0.0906	79.0	46.64112114906311
14	-45.661556	7.3240647	-29.356627	-69.429085	50.0	-19.458721	10.698651	0.9098555	-57.27551	75000	-1.9613653e-08	97.46062	-0.019824764	-9.76638	0.8236985	0.008711381	0.1014	79.0	50.572251081466675
15	-41.462177	5.6433334	-29.41262	-59.500008	50.0	-16.591818	9.61135	-0.569419	-59.277313	80000	-1.3589859e-09	67.7979	-0.021482384	-5.3544464	0.79334426	0.0065574166	0.0972	79.0	54.465168952941895
16	-39.355923	4.735665	-26.779432	-50.271214	50.0	-15.33606	8.770525	-2.184789	-43.17869	85000	7.463247e-09	51.691727	-0.02107202	-2.588108	0.7612989	0.006983767	0.0876	79.0	58.46526288986206
17	-37.894302	4.638851	-26.757692	-50.872738	50.0	-14.657797	8.260125	-2.1052063	-37.379562	90000	1.707375e-08	45.289425	-0.018933346	-2.3130875	0.73322284	0.008064627	0.0868	79.0	62.38530397415161
18	-36.46328	5.309372	-22.268667	-50.547554	50.0	-14.414833	8.396005	-0.7943689	-39.122803	95000	-1.104474e-08	43.796143	-0.018584777	-1.5751343	0.7060791	0.008961472	0.0732	79.0	66.39933395385742
19	-34.354385	4.1493177	-25.384693	-44.99052	50.0	-13.582814	8.038644	-1.5802948	-35.24029	100000	-9.983778e-11	36.810947	-0.022551011	-2.0551262	0.6787739	0.0048946245	0.0958	79.0	70.46320796012878
20	-33.19121	3.9292827	-21.86768	-43.432888	50.0	-12.549259	7.270448	0.9218149	-32.35799	105000	-2.9683114e-09	28.631084	-0.021036645	-1.1407242	0.64564025	0.005779601	0.1022	79.0	74.42988920211792
21	-31.202026	4.163565	-23.87357	-45.813866	50.0	-12.529615	7.2831044	1.8802096	-32.34681	110000	1.6570091e-09	25.023933	-0.01967775	-1.4609966	0.6200634	0.0057096565	0.0748	79.0	78.50619506835938
