Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-168.09943	191.43834	-8.437764	-620.8668	272.0	-0.1053284	0.079059154	0.20998152	-0.42774183	5000	1.07479096e-07	2462.2437	-0.063058995	-1914.0732	0.9189444	0.015004409	0.2272	67.0	5.777889013290405
1	-109.321106	168.26155	14.466105	-583.13226	198.88	-38.21367	10.439437	-8.198737	-88.60914	10000	-1.8978119e-08	629.7822	-0.07026897	-110.28943	0.9040829	0.003032774	0.265	79.0	11.764259099960327
2	-72.5138	96.828735	8.604103	-509.41077	151.0	-37.771744	9.117389	-4.934647	-72.151474	15000	2.36094e-08	548.4374	-0.07289087	-106.23752	0.8878259	0.007093798	0.2672	79.0	17.714035034179688
3	-112.80588	159.62721	3.9732625	-486.8727	252.27777	-31.502628	7.1523933	-2.9943874	-59.733032	20000	-8.189678e-09	315.0509	-0.07413602	-48.479614	0.8781923	0.005320098	0.2774	79.0	23.654595136642456
4	-105.598366	151.86348	18.797142	-491.1625	245.94737	-36.046856	7.6067615	-2.6147537	-63.08089	25000	8.3446505e-10	291.23773	-0.07562178	-30.72284	0.8663806	0.0061655343	0.2936	79.0	30.040611028671265
5	-76.45332	110.460754	33.46211	-415.88016	192.15384	-33.198742	7.337391	-1.7639892	-63.2053	30000	-1.5884638e-08	266.55038	-0.07726796	-58.441498	0.8552747	0.009276987	0.3064	79.0	36.19491410255432
6	-66.86639	112.5044	27.633417	-385.78424	194.86363	-28.386816	7.1047115	-1.2572888	-51.80278	35000	1.0582805e-08	283.66074	-0.07770004	-46.043365	0.8431906	0.015102286	0.32	68.0	42.327351093292236
7	-71.6463	98.016335	13.592243	-343.2726	236.41176	-28.180368	8.721751	-1.0261872	-52.809635	40000	3.9339065e-09	193.58482	-0.07846393	-24.96521	0.82702136	0.015059619	0.3274	65.0	48.40996694564819
8	-78.31858	125.36646	15.090935	-392.78406	238.0	-26.391756	7.056396	-1.1854297	-45.778564	45000	-9.3579295e-09	241.27783	-0.0832687	-20.413406	0.81645656	0.011583335	0.349	79.0	54.66698598861694
9	-40.755836	65.63412	13.649051	-296.3163	169.48148	-25.551016	8.422548	-1.0863763	-52.431	50000	-2.9712914e-09	244.4406	-0.07887729	-64.471985	0.79931647	0.015044879	0.331	67.0	60.962002992630005
10	-53.566326	75.20294	22.66333	-248.78734	206.85	-19.092869	6.4642544	-1.0804981	-39.75639	55000	7.528067e-09	227.08162	-0.08423766	-10.97319	0.7876726	0.015005573	0.3614	75.0	67.3778178691864
11	-90.61806	105.424355	12.050463	-287.63638	356.07144	-22.299528	5.8332467	-1.104086	-40.902203	60000	5.9604646e-09	107.93926	-0.08589872	-10.561089	0.7735151	0.012177324	0.3602	79.0	74.13859415054321
12	-40.243336	62.81275	31.232721	-207.82352	275.72223	-18.85358	5.3391514	-1.197944	-35.73106	65000	-9.799003e-09	174.20956	-0.07467777	-37.761475	0.7564104	0.0150725255	0.3196	46.0	79.88311982154846
13	-25.931389	41.401043	35.057354	-162.05687	198.52	-12.136435	5.2885656	-1.0598437	-27.509045	70000	9.512156e-09	211.9787	-0.069168486	-31.132355	0.74337345	0.015221029	0.2866	38.0	85.48145699501038
14	-14.732406	39.431553	46.74512	-122.37399	204.43478	-9.224243	4.662034	-0.031435892	-24.415287	75000	5.221367e-09	139.143	-0.061114743	-10.70694	0.7332089	0.0151209915	0.2734	28.0	91.20366597175598
15	-13.410598	42.875034	62.553814	-158.93248	174.7037	-6.8870344	4.8076077	2.4663389	-27.072548	80000	-2.2088736e-08	244.01997	-0.03780964	-17.110245	0.72477496	0.015070647	0.2076	14.0	97.71576714515686
16	-62.076305	63.152695	15.742909	-176.44617	458.0	-8.814354	5.2631145	9.036627	-29.461222	85000	3.0763447e-09	163.69156	-0.029739628	-40.358322	0.72139746	0.015238249	0.1642	10.0	104.42365908622742
17	-17.898426	62.09812	50.428646	-150.15736	333.33334	-12.227709	3.9498553	0.41433468	-29.648186	90000	1.3518333e-08	222.53647	-0.069239214	-36.53003	0.71743923	0.015017067	0.299	39.0	110.07800197601318
18	-9.146422	35.236164	49.842552	-87.60746	217.04347	-6.7161994	3.8133023	6.7859116	-26.197603	95000	1.4764071e-08	182.78778	-0.053916354	-12.300613	0.7052188	0.015029634	0.2162	22.0	115.49815511703491
19	-18.619709	51.089855	71.54554	-156.60625	242.89473	-5.5040393	3.530035	9.646379	-19.862072	100000	-2.8023123e-08	159.12029	-0.033385325	-8.487869	0.6987265	0.015190046	0.1642	13.0	120.82619023323059
20	-13.665562	63.079178	144.5055	-122.93374	310.375	-5.5295105	4.494886	12.252196	-25.955645	105000	-8.544326e-09	158.15657	-0.032302182	-31.523994	0.69440556	0.015326022	0.2128	12.0	126.30033993721008
21	5.9358406	24.003336	60.473446	-34.749886	197.96	0.51993275	7.206042	26.218824	-18.929478	110000	-4.160404e-09	154.2902	-0.029074471	-19.137863	0.6897668	0.0154399015	0.1944	11.0	132.08669710159302
22	4.2970533	41.947548	131.37894	-60.286007	244.8421	0.8880152	5.3079114	18.03561	-20.449615	115000	1.1202693e-08	271.38446	-0.032806348	-23.279984	0.68664044	0.015503908	0.214	11.0	137.5145218372345
23	-6.2629595	40.613926	40.273163	-126.86228	245.05	-0.50464356	5.3889756	28.245403	-28.430576	120000	2.8789044e-09	212.1382	-0.038057305	-18.986404	0.6835388	0.015709938	0.1838	14.0	142.96631407737732
24	12.860233	24.106577	83.971146	-33.024353	131.51613	-0.59406745	6.525798	26.788916	-19.183195	125000	1.5765429e-09	164.80626	-0.059696376	-42.885048	0.6784531	0.015068372	0.2668	30.0	148.51837801933289
25	2.0153825	30.237871	53.08224	-78.34866	246.89473	0.67068005	5.656768	22.411524	-15.00998	130000	2.6842951e-08	130.95532	-0.016020207	-38.103592	0.6689384	0.015277089	0.1616	6.0	154.05422496795654
26	20.094448	31.613083	80.57127	-28.858576	289.70587	1.6646918	5.6304536	19.015001	-13.523277	135000	-1.3113022e-10	199.64085	-0.03814092	-57.99382	0.66749567	0.015658112	0.1988	16.0	160.26125288009644
27	19.719854	27.883888	97.117805	-24.696552	226.21053	2.4190905	5.347987	25.45578	-7.8986936	140000	-7.467717e-09	156.69328	-0.03003987	-21.35991	0.66302305	0.016995857	0.2098	10.0	166.7721390724182
28	13.78174	34.000107	92.639595	-36.99622	253.25	3.5897617	5.29778	35.203	-9.18387	145000	5.1803886e-09	123.8045	-0.04405705	-19.894203	0.6593486	0.0151116	0.1956	19.0	172.93801712989807
29	13.821085	24.743551	63.91019	-31.714209	468.0	2.454148	5.8816924	27.377678	-16.904377	150000	-4.3451784e-09	125.23289	-0.030976862	-22.207733	0.6521691	0.015266254	0.169	12.0	179.1445369720459
30	27.830076	36.831665	86.54464	-37.38108	320.85715	2.1227105	3.6721284	21.855667	-12.599152	155000	9.2595815e-09	209.01317	-0.026957797	-87.455734	0.64820266	0.015110102	0.1562	11.0	185.20348811149597
31	40.142517	38.91499	145.24864	-6.5473657	303.9375	6.6466885	6.0350366	34.977783	-14.96862	160000	-2.2923947e-08	233.86462	-0.03189092	-67.835846	0.64535147	0.015456054	0.1846	12.0	191.11149287223816
32	23.318022	44.77698	121.52494	-56.248425	401.5	9.479036	8.866392	35.578712	-13.360102	165000	-3.011972e-08	297.33115	-0.01756747	-90.40073	0.6418815	0.015188182	0.1562	7.0	197.1482970714569
33	33.05374	38.48954	110.0805	-30.237345	309.4375	3.7187867	9.07264	29.96421	-25.179123	170000	1.6868114e-08	191.21564	-0.03285899	-50.422073	0.640001	0.015385719	0.1926	13.0	203.128977060318
34	40.725506	35.65699	121.96536	-10.074116	272.66666	7.338089	5.0986195	27.710835	-11.262102	175000	7.748604e-11	170.55327	-0.038970448	-28.722168	0.63642323	0.015418039	0.1838	16.0	210.5670759677887
35	58.73971	52.584377	150.21506	-48.772827	330.23077	9.508487	6.310413	30.651218	-8.934119	180000	1.2463331e-08	259.0065	-0.036023572	-61.241043	0.6307293	0.015065779	0.1606	14.0	218.3028528690338
36	22.407656	33.18426	138.95813	-34.92096	172.89285	17.49001	8.526219	41.730164	-9.361715	185000	2.7227403e-08	389.12183	-0.027688224	-168.8871	0.6264763	0.015458946	0.1596	11.0	225.14853405952454
37	74.70216	58.538036	195.81664	13.266147	296.73334	5.0743184	6.8581533	31.680252	-16.494638	190000	-1.7774106e-08	355.60236	-0.050423417	-169.7657	0.6235683	0.015103261	0.2264	25.0	231.24778294563293
38	19.298594	55.51188	134.67224	-126.432495	251.8421	11.412246	10.437093	48.9424	-9.814937	195000	-7.510185e-10	311.1808	-0.05357404	-116.329254	0.6191905	0.015001526	0.2246	28.0	237.30769896507263
39	35.40716	54.087482	213.11102	-28.238245	188.34616	7.8646436	7.1313643	34.583176	-16.729055	200000	4.1246415e-09	317.56998	-0.04989812	-40.30371	0.6148225	0.01514915	0.2152	22.0	243.1623821258545
40	61.512966	71.380035	210.42593	-86.4064	361.3846	10.713649	9.000025	45.47266	-26.22324	205000	2.9027463e-09	288.19427	-0.06994064	-43.729874	0.61055756	0.015277219	0.292	40.0	249.2042441368103
41	52.109184	60.698734	198.5228	-11.930013	342.5	11.40932	7.322974	36.1007	-22.982222	210000	8.094311e-09	231.50757	-0.06239588	-63.906723	0.6024249	0.01526906	0.254	33.0	255.40725898742676
42	67.654144	66.85669	223.23209	-2.9533224	281.06668	12.828878	5.099904	31.36008	-7.716912	215000	-8.869171e-09	234.46375	-0.04921941	-46.15834	0.5965758	0.015206327	0.2274	21.0	262.3371138572693
43	69.22632	63.430847	193.64853	-0.0037246842	491.66666	12.130472	6.1039376	40.366714	-11.576682	220000	-6.344169e-09	123.93485	-0.022930505	-35.339943	0.5913825	0.015214361	0.1212	8.0	269.05503010749817
44	48.93927	61.507877	204.36401	-20.507645	289.33334	11.129984	4.8158712	43.360233	-9.126389	225000	7.575751e-09	128.89679	-0.033106413	-40.42737	0.58924305	0.015154301	0.1916	13.0	275.4600179195404
45	74.634125	66.84925	209.4868	-1.662885	411.36365	13.350972	5.396352	38.19865	-8.131069	230000	1.0848046e-09	104.07307	-0.03881646	-22.38652	0.58557296	0.015210508	0.2018	17.0	281.65679383277893
46	80.43834	60.365402	209.74876	6.5913186	465.1	13.7414	4.4758782	37.281643	-1.9900064	235000	4.5999884e-09	131.38441	-0.030332135	-31.834	0.58143175	0.015353564	0.148	11.0	287.98180508613586
47	48.806	50.216293	165.20502	-56.945816	198.7619	14.0346575	8.042763	41.185917	-8.734444	240000	1.4979392e-08	251.32898	-0.0804444	-47.70462	0.5788589	0.015063757	0.3206	62.0	295.4150199890137
48	60.006348	57.188057	188.19946	-3.515482	308.8	13.585991	7.2279434	40.055294	-15.260838	245000	-7.9751015e-09	226.91728	-0.040582217	-58.83156	0.5715503	0.016323728	0.1962	14.0	301.83400988578796
49	61.55308	67.797966	189.59991	-32.180145	318.66666	12.584742	10.249441	45.31431	-18.215322	250000	-8.672476e-09	280.46823	-0.048065472	-55.087738	0.56911	0.015031248	0.214	22.0	307.8390657901764
50	75.11295	51.04744	172.44012	-1.0792587	384.33334	13.12078	9.581961	42.050297	-17.85635	255000	-5.1409006e-09	250.71815	-0.055160463	-75.203354	0.5636425	0.015075552	0.2318	24.0	313.7814779281616
51	99.100426	57.51652	182.15141	30.37279	729.5	11.068254	12.926824	47.75063	-36.690746	260000	-5.6028364e-09	171.42836	-0.058769047	-53.773064	0.55649114	0.015142621	0.2502	29.0	320.241641998291
52	170.15271	128.27003	356.09363	19.48437	582.625	14.457163	11.218736	42.49435	-12.297307	265000	-1.9076467e-08	458.06085	-0.034059886	-235.25493	0.5495931	0.01522574	0.1946	12.0	328.2879638671875
53	105.917175	70.276245	258.88162	-7.224696	499.1	22.899244	12.331518	57.486134	-11.163734	270000	1.8167496e-08	299.60553	-0.0377793	-128.57104	0.5463707	0.0150404	0.1784	15.0	338.05508613586426
54	96.688126	60.566795	223.27036	23.945797	309.1875	21.443594	10.996007	50.062363	-9.917181	275000	-1.2665987e-08	267.606	-0.03148082	-47.749893	0.5422055	0.0151784895	0.157	11.0	346.2533378601074
55	76.53155	85.146675	267.98083	-1.7747412	327.93332	15.1001215	11.035865	46.931305	-12.971374	280000	2.6881695e-09	228.339	-0.03181596	-51.599823	0.5391773	0.015226674	0.1832	12.0	354.03717517852783
56	147.55399	63.599056	237.45287	34.768852	503.375	19.344973	8.489635	53.37138	-9.661143	285000	2.3961066e-09	142.08498	-0.021487199	-45.148254	0.5361221	0.015452758	0.1406	7.0	363.91021609306335
