2020-01-30 11:12:48,639 INFO  Logger.cs: 70 - 
--------------------------------------------------------------------------------
2020-01-30 11:12:48,667 INFO  Logger.cs: 71 - Logging commencing for SW2URDF exporter
2020-01-30 11:12:48,669 INFO  Logger.cs: 73 - Commit version 1.5.1-0-g916b5db
2020-01-30 11:12:48,669 INFO  Logger.cs: 74 - Build version 1.5.7152.31018
2020-01-30 11:12:48,683 INFO  SwAddin.cs: 250 - Adding Assembly export to file menu
2020-01-30 11:12:48,684 INFO  SwAddin.cs: 253 - Adding Part export to file menu
2020-01-30 11:12:48,702 INFO  SwAddin.cs: 218 - Connecting plugin to SolidWorks
2020-01-30 11:22:26,332 INFO  SwAddin.cs: 271 - Assembly export called for file C800
2020-01-30 11:22:26,334 INFO  SwAddin.cs: 276 - Save is required
2020-01-30 11:22:26,334 INFO  SwAddin.cs: 290 - Saving assembly
2020-01-30 11:22:26,335 INFO  SwAddin.cs: 293 - Opening property manager
2020-01-30 11:22:26,347 INFO  ExportHelperExtension.cs: 1131 - Retrieving features of type [CoordSys] from C800
2020-01-30 11:22:26,351 INFO  ExportHelperExtension.cs: 1142 - Found 43 in C800
2020-01-30 11:22:26,351 INFO  ExportHelperExtension.cs: 1152 - Found 7 features of type [CoordSys] in C800
2020-01-30 11:22:26,351 INFO  ExportHelperExtension.cs: 1155 - Proceeding through assembly components
2020-01-30 11:22:26,352 INFO  ExportHelperExtension.cs: 1167 - 1 components to check
2020-01-30 11:22:26,353 INFO  ExportHelperExtension.cs: 1131 - Retrieving features of type [CoordSys] from C800.STEP-1
2020-01-30 11:22:26,353 INFO  ExportHelperExtension.cs: 1142 - Found 25 in C800.STEP-1
2020-01-30 11:22:26,354 INFO  ExportHelperExtension.cs: 1152 - Found 0 features of type [CoordSys] in C800.STEP-1
2020-01-30 11:22:26,355 INFO  ExportHelperExtension.cs: 1131 - Retrieving features of type [RefAxis] from C800
2020-01-30 11:22:26,356 INFO  ExportHelperExtension.cs: 1142 - Found 43 in C800
2020-01-30 11:22:26,356 INFO  ExportHelperExtension.cs: 1152 - Found 6 features of type [RefAxis] in C800
2020-01-30 11:22:26,357 INFO  ExportHelperExtension.cs: 1155 - Proceeding through assembly components
2020-01-30 11:22:26,357 INFO  ExportHelperExtension.cs: 1167 - 1 components to check
2020-01-30 11:22:26,357 INFO  ExportHelperExtension.cs: 1131 - Retrieving features of type [RefAxis] from C800.STEP-1
2020-01-30 11:22:26,357 INFO  ExportHelperExtension.cs: 1142 - Found 25 in C800.STEP-1
2020-01-30 11:22:26,358 INFO  ExportHelperExtension.cs: 1152 - Found 0 features of type [RefAxis] in C800.STEP-1
2020-01-30 11:22:26,567 INFO  SwAddin.cs: 316 - Loading config tree
2020-01-30 11:22:26,571 INFO  ExportPropertyManagerExtension.cs: 597 - Starting new configuration
2020-01-30 11:22:26,575 INFO  SwAddin.cs: 321 - Showing property manager
2020-01-30 11:22:38,344 INFO  ExportPropertyManager.cs: 1060 - OnComboboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2020-01-30 11:22:56,349 INFO  ExportPropertyManager.cs: 1178 - OnNumberBoxTrackingCompleted called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2020-01-30 11:23:19,144 INFO  ExportPropertyManager.cs: 1060 - OnComboboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2020-01-30 11:23:22,149 INFO  ExportPropertyManager.cs: 1060 - OnComboboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2020-01-30 11:23:50,880 INFO  ExportPropertyManager.cs: 1060 - OnComboboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2020-01-30 11:24:36,683 INFO  ExportPropertyManager.cs: 1178 - OnNumberBoxTrackingCompleted called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
