% http://www.cie.co.at/publ/abst/datatables15_2004/std65.txt
% l,nm	Standard Illuminant D65				
300e-9  0.034100e-2
305e-9	1.664300e-2
310e-9	3.294500e-2
315e-9	11.765200e-2
320e-9	20.236000e-2
325e-9	28.644700e-2
330e-9	37.053500e-2
335e-9	38.501100e-2
340e-9	39.948800e-2
345e-9	42.430200e-2
350e-9	44.911700e-2
355e-9	45.775000e-2
360e-9	46.638300e-2
365e-9	49.363700e-2
370e-9	52.089100e-2
375e-9	51.032300e-2
380e-9	49.975500e-2
385e-9	52.311800e-2
390e-9	54.648200e-2
395e-9	68.701500e-2
400e-9	82.754900e-2
405e-9	87.120400e-2
410e-9	91.486000e-2
415e-9	92.458900e-2
420e-9	93.431800e-2
425e-9	90.057000e-2
430e-9	86.682300e-2
435e-9	95.773600e-2
440e-9	104.865000e-2
445e-9	110.936000e-2
450e-9	117.008000e-2
455e-9	117.410000e-2
460e-9	117.812000e-2
465e-9	116.336000e-2
470e-9	114.861000e-2
475e-9	115.392000e-2
480e-9	115.923000e-2
485e-9	112.367000e-2
490e-9	108.811000e-2
495e-9	109.082000e-2
500e-9	109.354000e-2
505e-9	108.578000e-2
510e-9	107.802000e-2
515e-9	106.296000e-2
520e-9	104.790000e-2
525e-9	106.239000e-2
530e-9	107.689000e-2
535e-9	106.047000e-2
540e-9	104.405000e-2
545e-9	104.225000e-2
550e-9	104.046000e-2
555e-9	102.023000e-2
560e-9	100.000000e-2
565e-9	98.167100e-2
570e-9	96.334200e-2
575e-9	96.061100e-2
580e-9	95.788000e-2
585e-9	92.236800e-2
590e-9	88.685600e-2
595e-9	89.345900e-2
600e-9	90.006200e-2
605e-9	89.802600e-2
610e-9	89.599100e-2
615e-9	88.648900e-2
620e-9	87.698700e-2
625e-9	85.493600e-2
630e-9	83.288600e-2
635e-9	83.493900e-2
640e-9	83.699200e-2
645e-9	81.863000e-2
650e-9	80.026800e-2
655e-9	80.120700e-2
660e-9	80.214600e-2
665e-9	81.246200e-2
670e-9	82.277800e-2
675e-9	80.281000e-2
680e-9	78.284200e-2
685e-9	74.002700e-2
690e-9	69.721300e-2
695e-9	70.665200e-2
700e-9	71.609100e-2
705e-9	72.979000e-2
710e-9	74.349000e-2
715e-9	67.976500e-2
720e-9	61.604000e-2
725e-9	65.744800e-2
730e-9	69.885600e-2
735e-9	72.486300e-2
740e-9	75.087000e-2
745e-9	69.339800e-2
750e-9	63.592700e-2
755e-9	55.005400e-2
760e-9	46.418200e-2
765e-9	56.611800e-2
770e-9	66.805400e-2
775e-9	65.094100e-2
780e-9	63.382800e-2
