% Spectral response for a typical black and white silicon sensor.
%
% Reference::
% An ancient Fairchild data book for a sensor with no IR filter fitted.
%
% Copyright (C) 1993-2011, by Peter I. Corke
%
% This file is part of The Machine Vision Toolbox for Matlab (MVTB).
% 
% MVTB is free software: you can redistribute it and/or modify
% it under the terms of the GNU Lesser General Public License as published by
% the Free Software Foundation, either version 3 of the License, or
% (at your option) any later version.
% 
% MVTB is distributed in the hope that it will be useful,
% but WITHOUT ANY WARRANTY; without even the implied warranty of
% MERCHANTABILITY or FITNESS FOR A PARTICULAR PURPOSE.  See the
% GNU Lesser General Public License for more details.
% 
% You should have received a copy of the GNU Leser General Public License
% along with MVTB.  If not, see <http://www.gnu.org/licenses/>.
3.0000000e-07   0.0000000e+00
3.1000000e-07   0.0000000e+00
3.2000000e-07   0.0000000e+00
3.3000000e-07   0.0000000e+00
3.4000000e-07   0.0000000e+00
3.5000000e-07   0.0000000e+00
3.6000000e-07   5.5446585e-03
3.7000000e-07   1.3203152e-02
3.8000000e-07   2.3089317e-02
3.9000000e-07   3.5316988e-02
4.0000000e-07   5.0000000e-02
4.1000000e-07   6.7195271e-02
4.2000000e-07   8.6732049e-02
4.3000000e-07   1.0838266e-01
4.4000000e-07   1.3191944e-01
4.5000000e-07   1.5711471e-01
4.6000000e-07   1.8374081e-01
4.7000000e-07   2.1157005e-01
4.8000000e-07   2.4037478e-01
4.9000000e-07   2.6992732e-01
5.0000000e-07   3.0000000e-01
5.1000000e-07   3.3038590e-01
5.2000000e-07   3.6096112e-01
5.3000000e-07   3.9162250e-01
5.4000000e-07   4.2226690e-01
5.5000000e-07   4.5279116e-01
5.6000000e-07   4.8309212e-01
5.7000000e-07   5.1306664e-01
5.8000000e-07   5.4261156e-01
5.9000000e-07   5.7162373e-01
6.0000000e-07   6.0000000e-01
6.1000000e-07   6.2766112e-01
6.2000000e-07   6.5462347e-01
6.3000000e-07   6.8092732e-01
6.4000000e-07   7.0661296e-01
6.5000000e-07   7.3172067e-01
6.6000000e-07   7.5629072e-01
6.7000000e-07   7.8036340e-01
6.8000000e-07   8.0397898e-01
6.9000000e-07   8.2717776e-01
7.0000000e-07   8.5000000e-01
7.1000000e-07   8.7241961e-01
7.2000000e-07   8.9414501e-01
7.3000000e-07   9.1481821e-01
7.4000000e-07   9.3408126e-01
7.5000000e-07   9.5157618e-01
7.6000000e-07   9.6694501e-01
7.7000000e-07   9.7982977e-01
7.8000000e-07   9.8987250e-01
7.9000000e-07   9.9671524e-01
8.0000000e-07   1.0000000e+00
8.1000000e-07   9.9946042e-01
8.2000000e-07   9.9519650e-01
8.3000000e-07   9.8739982e-01
8.4000000e-07   9.7626200e-01
8.5000000e-07   9.6197461e-01
8.6000000e-07   9.4472925e-01
8.7000000e-07   9.2471751e-01
8.8000000e-07   9.0213100e-01
8.9000000e-07   8.7716130e-01
9.0000000e-07   8.5000000e-01
9.1000000e-07   8.2083870e-01
9.2000000e-07   7.8986900e-01
9.3000000e-07   7.5728249e-01
9.4000000e-07   7.2327075e-01
9.5000000e-07   6.8802539e-01
9.6000000e-07   6.5173800e-01
9.7000000e-07   6.1460018e-01
9.8000000e-07   5.7680350e-01
9.9000000e-07   5.3853958e-01
1.0000000e-06   5.0000000e-01
