%	Data from http://www.asdi.com/apps/arm.html, figure 1
%Wavelength,m	Irradiance, W/m^2/nm
350.00e-9	0.58723
351.00e-9	0.70940
352.00e-9	0.48744
353.00e-9	0.42752
354.00e-9	0.43116
355.00e-9	0.48164
356.00e-9	0.54870
357.00e-9	0.53153
358.00e-9	0.50295
359.00e-9	0.54654
360.00e-9	0.59868
361.00e-9	0.63560
362.00e-9	0.63784
363.00e-9	0.64605
364.00e-9	0.66869
365.00e-9	0.70714
366.00e-9	0.74985
367.00e-9	0.75305
368.00e-9	0.73110
369.00e-9	0.70836
370.00e-9	0.69401
371.00e-9	0.68236
372.00e-9	0.67079
373.00e-9	0.68646
374.00e-9	0.70652
375.00e-9	0.72594
376.00e-9	0.71963
377.00e-9	0.70750
378.00e-9	0.68939
379.00e-9	0.65630
380.00e-9	0.62032
381.00e-9	0.59379
382.00e-9	0.59903
383.00e-9	0.60758
384.00e-9	0.61205
385.00e-9	0.60767
386.00e-9	0.63054
387.00e-9	0.66109
388.00e-9	0.69559
389.00e-9	0.66880
390.00e-9	0.63752
391.00e-9	0.60908
392.00e-9	0.61258
393.00e-9	0.61604
394.00e-9	0.62597
395.00e-9	0.65160
396.00e-9	0.72855
397.00e-9	0.80833
398.00e-9	0.87982
399.00e-9	0.92832
400.00e-9	0.96150
401.00e-9	0.98002
402.00e-9	0.98135
403.00e-9	0.97353
404.00e-9	0.96353
405.00e-9	0.96014
406.00e-9	0.96997
407.00e-9	0.98002
408.00e-9	0.98403
409.00e-9	1.0042
410.00e-9	1.0195
411.00e-9	1.0281
412.00e-9	1.0387
413.00e-9	1.0470
414.00e-9	1.0524
415.00e-9	1.0502
416.00e-9	1.0468
417.00e-9	1.0445
418.00e-9	1.0455
419.00e-9	1.0499
420.00e-9	1.0502
421.00e-9	1.0441
422.00e-9	1.0438
423.00e-9	1.0440
424.00e-9	1.0433
425.00e-9	1.0336
426.00e-9	1.0112
427.00e-9	0.97768
428.00e-9	0.92621
429.00e-9	0.92989
430.00e-9	0.96178
431.00e-9	1.0183
432.00e-9	1.0453
433.00e-9	1.0786
434.00e-9	1.1201
435.00e-9	1.1388
436.00e-9	1.1323
437.00e-9	1.1163
438.00e-9	1.1309
439.00e-9	1.1624
440.00e-9	1.1985
441.00e-9	1.2312
442.00e-9	1.2485
443.00e-9	1.2560
444.00e-9	1.2540
445.00e-9	1.2690
446.00e-9	1.2919
447.00e-9	1.3208
448.00e-9	1.3471
449.00e-9	1.3709
450.00e-9	1.3824
451.00e-9	1.3574
452.00e-9	1.3429
453.00e-9	1.3419
454.00e-9	1.3597
455.00e-9	1.3772
456.00e-9	1.3843
457.00e-9	1.3804
458.00e-9	1.3798
459.00e-9	1.3897
460.00e-9	1.4052
461.00e-9	1.4155
462.00e-9	1.4111
463.00e-9	1.4011
464.00e-9	1.3905
465.00e-9	1.3805
466.00e-9	1.3759
467.00e-9	1.3785
468.00e-9	1.3764
469.00e-9	1.3778
470.00e-9	1.3835
471.00e-9	1.4020
472.00e-9	1.4121
473.00e-9	1.4175
474.00e-9	1.4208
475.00e-9	1.4215
476.00e-9	1.4259
477.00e-9	1.4381
478.00e-9	1.4470
479.00e-9	1.4542
480.00e-9	1.4593
481.00e-9	1.4564
482.00e-9	1.4439
483.00e-9	1.4177
484.00e-9	1.3568
485.00e-9	1.3110
486.00e-9	1.2948
487.00e-9	1.3344
488.00e-9	1.3757
489.00e-9	1.4012
490.00e-9	1.4057
491.00e-9	1.3949
492.00e-9	1.4002
493.00e-9	1.4180
494.00e-9	1.4310
495.00e-9	1.4345
496.00e-9	1.4307
497.00e-9	1.4181
498.00e-9	1.4052
499.00e-9	1.3898
500.00e-9	1.3704
501.00e-9	1.3699
502.00e-9	1.3758
503.00e-9	1.3874
504.00e-9	1.4073
505.00e-9	1.4163
506.00e-9	1.4173
507.00e-9	1.4117
508.00e-9	1.4133
509.00e-9	1.4169
510.00e-9	1.4191
511.00e-9	1.4116
512.00e-9	1.3993
513.00e-9	1.3826
514.00e-9	1.3623
515.00e-9	1.3278
516.00e-9	1.2872
517.00e-9	1.2806
518.00e-9	1.3041
519.00e-9	1.3394
520.00e-9	1.3682
521.00e-9	1.3818
522.00e-9	1.3932
523.00e-9	1.4067
524.00e-9	1.3982
525.00e-9	1.3804
526.00e-9	1.3578
527.00e-9	1.3803
528.00e-9	1.4081
529.00e-9	1.4338
530.00e-9	1.4370
531.00e-9	1.4243
532.00e-9	1.4127
533.00e-9	1.4144
534.00e-9	1.4254
535.00e-9	1.4307
536.00e-9	1.4271
537.00e-9	1.4182
538.00e-9	1.4049
539.00e-9	1.3898
540.00e-9	1.3851
541.00e-9	1.3903
542.00e-9	1.4001
543.00e-9	1.4100
544.00e-9	1.4141
545.00e-9	1.4142
546.00e-9	1.4102
547.00e-9	1.4091
548.00e-9	1.4103
549.00e-9	1.4133
550.00e-9	1.4128
551.00e-9	1.4122
552.00e-9	1.4124
553.00e-9	1.4160
554.00e-9	1.4135
555.00e-9	1.4060
556.00e-9	1.3917
557.00e-9	1.3776
558.00e-9	1.3692
559.00e-9	1.3683
560.00e-9	1.3757
561.00e-9	1.3814
562.00e-9	1.3849
563.00e-9	1.3820
564.00e-9	1.3774
565.00e-9	1.3732
566.00e-9	1.3720
567.00e-9	1.3682
568.00e-9	1.3627
569.00e-9	1.3553
570.00e-9	1.3580
571.00e-9	1.3650
572.00e-9	1.3746
573.00e-9	1.3742
574.00e-9	1.3708
575.00e-9	1.3657
576.00e-9	1.3607
577.00e-9	1.3581
578.00e-9	1.3590
579.00e-9	1.3659
580.00e-9	1.3755
581.00e-9	1.3837
582.00e-9	1.3896
583.00e-9	1.3859
584.00e-9	1.3794
585.00e-9	1.3696
586.00e-9	1.3517
587.00e-9	1.3270
588.00e-9	1.3058
589.00e-9	1.3027
590.00e-9	1.3126
591.00e-9	1.3242
592.00e-9	1.3339
593.00e-9	1.3367
594.00e-9	1.3387
595.00e-9	1.3401
596.00e-9	1.3392
597.00e-9	1.3373
598.00e-9	1.3344
599.00e-9	1.3298
600.00e-9	1.3272
601.00e-9	1.3277
602.00e-9	1.3329
603.00e-9	1.3359
604.00e-9	1.3376
605.00e-9	1.3380
606.00e-9	1.3346
607.00e-9	1.3307
608.00e-9	1.3264
609.00e-9	1.3223
610.00e-9	1.3175
611.00e-9	1.3127
612.00e-9	1.3087
613.00e-9	1.3025
614.00e-9	1.2974
615.00e-9	1.2946
616.00e-9	1.2956
617.00e-9	1.2978
618.00e-9	1.3010
619.00e-9	1.3043
620.00e-9	1.3066
621.00e-9	1.3074
622.00e-9	1.3044
623.00e-9	1.2982
624.00e-9	1.2914
625.00e-9	1.2854
626.00e-9	1.2815
627.00e-9	1.2773
628.00e-9	1.2726
629.00e-9	1.2697
630.00e-9	1.2679
631.00e-9	1.2671
632.00e-9	1.2681
633.00e-9	1.2709
634.00e-9	1.2745
635.00e-9	1.2786
636.00e-9	1.2824
637.00e-9	1.2852
638.00e-9	1.2868
639.00e-9	1.2858
640.00e-9	1.2836
641.00e-9	1.2805
642.00e-9	1.2785
643.00e-9	1.2773
644.00e-9	1.2762
645.00e-9	1.2735
646.00e-9	1.2682
647.00e-9	1.2621
648.00e-9	1.2559
649.00e-9	1.2523
650.00e-9	1.2508
651.00e-9	1.2516
652.00e-9	1.2524
653.00e-9	1.2476
654.00e-9	1.2364
655.00e-9	1.2122
656.00e-9	1.1946
657.00e-9	1.1861
658.00e-9	1.1945
659.00e-9	1.2098
660.00e-9	1.2260
661.00e-9	1.2417
662.00e-9	1.2512
663.00e-9	1.2572
664.00e-9	1.2601
665.00e-9	1.2602
666.00e-9	1.2600
667.00e-9	1.2595
668.00e-9	1.2587
669.00e-9	1.2565
670.00e-9	1.2536
671.00e-9	1.2502
672.00e-9	1.2474
673.00e-9	1.2454
674.00e-9	1.2442
675.00e-9	1.2433
676.00e-9	1.2425
677.00e-9	1.2417
678.00e-9	1.2410
679.00e-9	1.2396
680.00e-9	1.2377
681.00e-9	1.2357
682.00e-9	1.2323
683.00e-9	1.2266
684.00e-9	1.2178
685.00e-9	1.1927
686.00e-9	1.1590
687.00e-9	1.1191
688.00e-9	1.0882
689.00e-9	1.0736
690.00e-9	1.0709
691.00e-9	1.0814
692.00e-9	1.0965
693.00e-9	1.1119
694.00e-9	1.1253
695.00e-9	1.1359
696.00e-9	1.1450
697.00e-9	1.1523
698.00e-9	1.1534
699.00e-9	1.1516
700.00e-9	1.1477
701.00e-9	1.1428
702.00e-9	1.1410
703.00e-9	1.1414
704.00e-9	1.1443
705.00e-9	1.1478
706.00e-9	1.1506
707.00e-9	1.1523
708.00e-9	1.1530
709.00e-9	1.1526
710.00e-9	1.1511
