% from http://omlc.ogi.edu/spectra/water/data/buiteveld94.dat
%
% H. Buiteveld and J. M. H. Hakvoort and M. Donze, "The optical properties
% of pure water," in SPIE Proceedings on Ocean Optics XII, edited by J. S.
% Jaffe, 2258, 174--183, (1994).
% 
% lambda	 absorption
%  (m) 	   (1/m)   
300e-9	 0.000382e2
302e-9	 0.000361e2
304e-9	 0.000341e2
306e-9	 0.000323e2
308e-9	 0.000305e2
310e-9	 0.000288e2
312e-9	 0.000272e2
314e-9	 0.000257e2
316e-9	 0.000242e2
318e-9	 0.000228e2
320e-9	 0.000215e2
322e-9	 0.000203e2
324e-9	 0.000191e2
326e-9	 0.00018e2
328e-9	 0.00017e2
330e-9	 0.00016e2
332e-9	 0.000151e2
334e-9	 0.000142e2
336e-9	 0.000134e2
338e-9	 0.000127e2
340e-9	 0.000119e2
342e-9	 0.000113e2
344e-9	 0.000107e2
346e-9	 0.000101e2
348e-9	 9.6e-05e2
350e-9	 9.1e-05e2
352e-9	 8.6e-05e2
354e-9	 8.2e-05e2
356e-9	 7.8e-05e2
358e-9	 7.5e-05e2
360e-9	 7.1e-05e2
362e-9	 6.9e-05e2
364e-9	 6.6e-05e2
366e-9	 6.4e-05e2
368e-9	 6.2e-05e2
370e-9	 6e-05e2
372e-9	 5.8e-05e2
374e-9	 5.7e-05e2
376e-9	 5.6e-05e2
378e-9	 5.5e-05e2
380e-9	 5.4e-05e2
382e-9	 5.4e-05e2
384e-9	 5.3e-05e2
386e-9	 5.3e-05e2
388e-9	 5.3e-05e2
390e-9	 5.4e-05e2
392e-9	 5.4e-05e2
394e-9	 5.4e-05e2
396e-9	 5.5e-05e2
398e-9	 5.6e-05e2
400e-9	 5.8e-05e2
402e-9	 5.9e-05e2
404e-9	 6.1e-05e2
406e-9	 6.3e-05e2
408e-9	 6.5e-05e2
410e-9	 6.7e-05e2
412e-9	 6.9e-05e2
414e-9	 7.2e-05e2
416e-9	 7.4e-05e2
418e-9	 7.6e-05e2
420e-9	 7.9e-05e2
422e-9	 8.2e-05e2
